"","KO","Gene_identification","A","B","C","D","Target","Target_2","Category","GeneID","Full_GeneName","Notes"
"4766","K01802","E5.2.1.8; peptidylprolyl isomerase [EC:5.2.1.8]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4767","K01799","nicE, maiA; maleate isomerase [EC:5.2.1.1]","Pathway module","Nucleotide and amino acid metabolism","Cofactor and vitamin biosynthesis","Nicotinate degradation, nicotinate => fumarate",NA,NA,NA,NA,NA,NA
"4768","K07952","ARFRP1; ADP-ribosylation factor related protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4769","K04913","KCNK2; potassium channel subfamily K member 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4770","K07208","RHEB; Ras homolog enriched in brain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4771","K03139","TFIIF2, GTF2F2, TFG2; transcription initiation factor TFIIF subunit beta [EC:3.6.4.12]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4772","K12761","SNF1; carbon catabolite-derepressing protein kinase [EC:2.7.11.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4773","K06271","TLN; talin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4774","K12474","LDLRAP1, ARH; low density lipoprotein receptor adapter protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4775","K11425","WHSC1L1, NSD3; histone-lysine N-methyltransferase NSD3 [EC:2.1.1.43]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4776","K13880","BEST3, VMD2L3; bestrophin-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4777","K00888","PI4KA; phosphatidylinositol 4-kinase A [EC:2.7.1.67]","Pathway module","Carbohydrate and lipid metabolism","Lipid metabolism","Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4","Phagotrophy-other","other","phosphatidylinositol","PI4KA","phosphatidylinositol 4-kinase A [EC:2.7.1.67]",""
"4778","K14782","AATF, BFR2; protein AATF/BFR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4779","K14407","CSTF2, RNA15; cleavage stimulation factor subunit 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4780","K05989","ramA; alpha-L-rhamnosidase [EC:3.2.1.40]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4781","K18213","PRORP; proteinaceous RNase P [EC:3.1.26.5]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4782","K05679","ABCG1; ATP-binding cassette, subfamily G (WHITE), member 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4783","K12418","DES4, des1; acyl-lipid (7-3)-desaturase (Delta-4 desaturase) [EC:1.14.19.31]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4784","K13220","WBP4, FBP21; WW domain-binding protein 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4785","K05749","CYFIP; cytoplasmic FMR1 interacting protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4786","K08716","SLC14A; solute carrier family 14 (urea transporter)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4787","K01996","livF; branched-chain amino acid transport system ATP-binding protein","Structural complex","Environmental information processing","Phosphate and amino acid transport system","Branched-chain amino acid transport system",NA,NA,NA,NA,NA,NA
"4788","K04920","KCNK10; potassium channel subfamily K member 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4789","K04808","CHRNA6; nicotinic acetylcholine receptor alpha-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4790","K18342","OTUD6; OTU domain-containing protein 6 [EC:3.4.19.12]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4791","K14085","ALDH7A1; aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]","Pathway module","Nucleotide and amino acid metabolism","Lysine metabolism","Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine",NA,NA,NA,NA,NA,NA
"4792","K14085","ALDH7A1; aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]","Pathway module","Nucleotide and amino acid metabolism","Lysine metabolism","Lysine degradation, lysine => saccharopine => acetoacetyl-CoA",NA,NA,NA,NA,NA,NA
"4793","K14085","ALDH7A1; aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]","Pathway module","Nucleotide and amino acid metabolism","Polyamine biosynthesis","GABA biosynthesis, eukaryotes, putrescine => GABA",NA,NA,NA,NA,NA,NA
"4794","K12832","SF3B5, SF3B10; splicing factor 3B subunit 5","Structural complex","Genetic information processing","Spliceosome","Spliceosome, U2-snRNP",NA,NA,NA,NA,NA,NA
"4795","K08494","NSPN; novel plant SNARE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4796","K09013","sufC; Fe-S cluster assembly ATP-binding protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4797","K17804","TIM44; mitochondrial import inner membrane translocase subunit TIM44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4798","K18024","PTPN12_18_22; tyrosine-protein phosphatase non-receptor type 12/18/22 [EC:3.1.3.48]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4799","K03133","TAF9B, TAF9; transcription initiation factor TFIID subunit 9B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4800","K19704","PTC1; protein phosphatase PTC1 [EC:3.1.3.16]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4801","K15893","HPR1; hydroxypyruvate reductase 1","Pathway module","Carbohydrate and lipid metabolism","Other carbohydrate metabolism","Photorespiration",NA,NA,NA,NA,NA,NA
"4802","K07508","ACAA2; acetyl-CoA acyltransferase 2 [EC:2.3.1.16]","Pathway module","Carbohydrate and lipid metabolism","Fatty acid metabolism","Fatty acid biosynthesis, elongation, mitochondria","Phagotrophy","Fatty acid biosynthesis","Fatty acid biosynthesis","ACAA2","acetyl-CoA acyltransferase 2 ",""
"4803","K07508","ACAA2; acetyl-CoA acyltransferase 2 [EC:2.3.1.16]","Pathway module","Carbohydrate and lipid metabolism","Fatty acid metabolism","Fatty acid biosynthesis, elongation, mitochondria","Phagotrophy","Fatty acid breakdown","Fatty acid breakdown","ACAA2","acetyl-CoA acyltransferase 2 [EC:2.3.1.16]",""
"4804","K07508","ACAA2; acetyl-CoA acyltransferase 2 [EC:2.3.1.16]","Pathway module","Carbohydrate and lipid metabolism","Fatty acid metabolism","Fatty acid biosynthesis, elongation, mitochondria","Phagotrophy","Fatty acid breakdown","Fatty acid breakdown","ACAA2","acetyl-CoA acyltransferase 2 ",""
"4805","K07508","ACAA2; acetyl-CoA acyltransferase 2 [EC:2.3.1.16]","Pathway module","Carbohydrate and lipid metabolism","Fatty acid metabolism","beta-Oxidation","Phagotrophy","Fatty acid biosynthesis","Fatty acid biosynthesis","ACAA2","acetyl-CoA acyltransferase 2 ",""
"4806","K07508","ACAA2; acetyl-CoA acyltransferase 2 [EC:2.3.1.16]","Pathway module","Carbohydrate and lipid metabolism","Fatty acid metabolism","beta-Oxidation","Phagotrophy","Fatty acid breakdown","Fatty acid breakdown","ACAA2","acetyl-CoA acyltransferase 2 [EC:2.3.1.16]",""
"4807","K07508","ACAA2; acetyl-CoA acyltransferase 2 [EC:2.3.1.16]","Pathway module","Carbohydrate and lipid metabolism","Fatty acid metabolism","beta-Oxidation","Phagotrophy","Fatty acid breakdown","Fatty acid breakdown","ACAA2","acetyl-CoA acyltransferase 2 ",""
"4808","K13201","TIA1, TIAL1; nucleolysin TIA-1/TIAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4809","K07552","bcr; MFS transporter, DHA1 family, bicyclomycin/chloramphenicol resistance protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4810","K15280","SLC35C2; solute carrier family 35, member C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4811","K00744","MGAT5; alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase [EC:2.4.1.155]","Pathway module","Carbohydrate and lipid metabolism","Glycan metabolism","N-glycan biosynthesis, complex type",NA,NA,NA,NA,NA,NA
"4812","K00974","cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4813","K03524","birA; BirA family transcriptional regulator, biotin operon repressor / biotin-[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4814","K10569","NEIL3; endonuclease VIII-like 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4815","K11656","CHRAC1, CHRAC15; chromatin accessibility complex protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4816","K09485","HSP110; heat shock protein 110kDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4817","K16629","COL21A; collagen, type XXI, alpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4818","K05941","E2.3.2.15; glutathione gamma-glutamylcysteinyltransferase [EC:2.3.2.15]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4819","K11303","HAT1, KAT1; histone acetyltransferase 1 [EC:2.3.1.48]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4820","K18211","SNAP25; synaptosomal-associated protein 25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4821","K04715","E2.7.1.138, CERK; ceramide kinase [EC:2.7.1.138]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4822","K07436","CYP24A1; vitamin D3 24-hydroxylase [EC:1.14.15.16]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4823","K17509","PDPR; pyruvate dehydrogenase phosphatase regulatory subunit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4824","K06072","DOHH; deoxyhypusine monooxygenase [EC:1.14.99.29]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4825","K18930","dld; D-lactate dehydrogenase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4826","K10630","RBCK1, HOIL1; RanBP-type and C3HC4-type zinc finger-containing protein 1 [EC:2.3.2.27]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4827","K10185","TBX20; T-box protein 20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4828","K06587","ITGA11; integrin alpha 11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4829","K08179","SLC16A1; MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4830","K11808","ADE2; phosphoribosylaminoimidazole carboxylase [EC:4.1.1.21]","Pathway module","Nucleotide and amino acid metabolism","Purine metabolism","Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",NA,NA,NA,NA,NA,NA
"4831","K10142","STEAP3, TSAP6; metalloreductase STEAP3 [EC:1.16.1.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4832","K06872","K06872; uncharacterized protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4833","K12501","HST; homogentisate solanesyltransferase [EC:2.5.1.117]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4834","K04569","CCS; copper chaperone for superoxide dismutase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4835","K11493","RCC1; regulator of chromosome condensation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4836","K04485","radA, sms; DNA repair protein RadA/Sms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4837","K08585","CAPNN; calpain, invertebrate [EC:3.4.22.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4838","K01478","arcA; arginine deiminase [EC:3.5.3.6]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4839","K13218","PTBP1, PTB; polypyrimidine tract-binding protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4840","K12389","BTS, CLN3; battenin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4841","K05312","CHRNN; nicotinic acetylcholine receptor, invertebrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4842","K09637","TMPRSS6; transmembrane protease serine 6 [EC:3.4.21.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4843","K08319","ygbJ; putative dehydrogenase [EC:1.1.-.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4844","K15704","RNF149; E3 ubiquitin-protein ligase RNF149 [EC:2.3.2.27]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4845","K13335","PEX16; peroxin-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4846","K03297","emrE, qac, mmr, smr; small multidrug resistance pump",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4847","K19737","PRMT9; type II protein arginine methyltransferase [EC:2.1.1.320]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4848","K10742","DNA2; DNA replication ATP-dependent helicase Dna2 [EC:3.6.4.12]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4849","K15305","VAC14, TAX1BP2; vacuole morphology and inheritance protein 14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4850","K16533","CEP290, NPHP6; centrosomal protein CEP290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4851","K06183","rsuA; 16S rRNA pseudouridine516 synthase [EC:5.4.99.19]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4852","K11806","WDSOF1; WD repeat and SOF domain-containing protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4853","K10255","FAD6, desA; acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.23 1.14.19.45]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4854","K02892","RP-L23, MRPL23, rplW; large subunit ribosomal protein L23","Structural complex","Genetic information processing","Ribosome","Ribosome, bacteria",NA,NA,NA,NA,NA,NA
"4855","K02892","RP-L23, MRPL23, rplW; large subunit ribosomal protein L23","Structural complex","Genetic information processing","Ribosome","Ribosome, archaea",NA,NA,NA,NA,NA,NA
"4856","K00504","PAM, PHM; peptidylglycine monooxygenase [EC:1.14.17.3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4857","K09919","K09919; uncharacterized protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4858","K06766","NEO1; neogenin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4859","K03145","TFIIS; transcription elongation factor S-II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4860","K11841","USP10, UBP3; ubiquitin carboxyl-terminal hydrolase 10 [EC:3.4.19.12]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4861","K18334","fucD; L-fuconate dehydratase [EC:4.2.1.68]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4862","K15738","uup; ATP-binding cassette, subfamily F, uup",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4863","K06718","ectA; L-2,4-diaminobutyric acid acetyltransferase [EC:2.3.1.178]","Pathway module","Nucleotide and amino acid metabolism","Other amino acid metabolism","Ectoine biosynthesis, aspartate => ectoine",NA,NA,NA,NA,NA,NA
"4864","K08588","BAP1, UCHL2; ubiquitin carboxyl-terminal hydrolase BAP1 [EC:3.4.19.12]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4865","K15356","VRG4, GONST1; GDP-mannose transporter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4866","K17675","SUPV3L1, SUV3; ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:3.6.4.13]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4867","K00515","BCMO1, BCDO1; beta-carotene 15,15'-dioxygenase [EC:1.13.11.63]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4868","K14776","DDX10, DBP4; ATP-dependent RNA helicase DDX10/DBP4 [EC:3.6.4.13]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4869","K18271","RBP4; retinol-binding protein 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4870","K15791","DHKTD1; probable 2-oxoglutarate dehydrogenase E1 component DHKTD1 [EC:1.2.4.2]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4871","K14664","ILR1; IAA-amino acid hydrolase [EC:3.5.1.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4872","K05086","INSRR; insulin receptor-related receptor [EC:2.7.10.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4873","K02428","rdgB; XTP/dITP diphosphohydrolase [EC:3.6.1.66]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4874","K17662","CBP3, UQCC; cytochrome b pre-mRNA-processing protein 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4875","K13619","DDHD1; phospholipase DDHD1 [EC:3.1.1.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4876","K06934","K06934; uncharacterized protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4877","K00746","CSGALNACT1_2; chondroitin sulfate N-acetylgalactosaminyltransferase 1/2 [EC:2.4.1.174 2.4.1.175]","Pathway module","Carbohydrate and lipid metabolism","Glycosaminoglycan metabolism","Glycosaminoglycan biosynthesis, chondroitin sulfate backbone",NA,NA,NA,NA,NA,NA
"4878","K18405","TDRD1_4_6_7; tudor domain-containing protein 1/4/6/7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4879","K00289","E1.5.1.6, FTHFD; formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4880","K08577","CAPN8; calpain-8 [EC:3.4.22.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4881","K08081","TR1; tropinone reductase I [EC:1.1.1.206]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4882","K13094","RBM5_10; RNA-binding protein 5/10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4883","K09189","MLL5; histone-lysine N-methyltransferase MLL5 [EC:2.1.1.43]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4884","K18273","TECTA; alpha-tectorin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4885","K05201","GRIK1; glutamate receptor, ionotropic kainate 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4886","K06838","SLIT1; slit 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4887","K07606","VIM; vimentin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4888","K17808","ZIM17, DNLZ, Tim15; mitochondrial protein import protein ZIM17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4889","K09381","PAX3_7; paired box protein 3/7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4890","K07760","CDK; cyclin-dependent kinase [EC:2.7.11.22]","Functional set","Environmental information processing","Cell signaling","Cell cycle - G2/M transition",NA,NA,NA,NA,NA,NA
"4891","K00909","GRK1_7; rhodopsin kinase [EC:2.7.11.14]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4892","K03015","RPB7, POLR2G; DNA-directed RNA polymerase II subunit RPB7","Structural complex","Genetic information processing","RNA polymerase","RNA polymerase II, eukaryotes",NA,NA,NA,NA,NA,NA
"4893","K01661","menB; naphthoate synthase [EC:4.1.3.36]","Pathway module","Nucleotide and amino acid metabolism","Cofactor and vitamin biosynthesis","Menaquinone biosynthesis, chorismate => menaquinone",NA,NA,NA,NA,NA,NA
"4894","K10712","ADO; cysteamine dioxygenase [EC:1.13.11.19]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4895","K09837","LUT1, CYP97C1; carotene epsilon-monooxygenase [EC:1.14.99.45]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4896","K06617","E2.4.1.82; raffinose synthase [EC:2.4.1.82]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4897","K01634","SGPL1, DPL1; sphinganine-1-phosphate aldolase [EC:4.1.2.27]","Pathway module","Carbohydrate and lipid metabolism","Lipid metabolism","Sphingosine degradation",NA,NA,NA,NA,NA,NA
"4898","K05763","MSN; moesin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4899","K03134","TAF10; transcription initiation factor TFIID subunit 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4900","K11089","TROVE2, SSA2; 60 kDa SS-A/Ro ribonucleoprotein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4901","K07019","K07019; uncharacterized protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4902","K11755","hisIE; phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase [EC:3.6.1.31 3.5.4.19]","Pathway module","Nucleotide and amino acid metabolism","Histidine metabolism","Histidine biosynthesis, PRPP => histidine",NA,NA,NA,NA,NA,NA
"4903","K13240","NOS1; nitric-oxide synthase, brain [EC:1.14.13.39]",NA,NA,NA,NA,"Phagotrophy","Phagosome associated","Phagosome maturation","nitric-oxide synthase, brain [EC:1.14.13.39]","nitric-oxide synthase, brain [EC:1.14.13.39]",""
"4904","K01999","livK; branched-chain amino acid transport system substrate-binding protein","Structural complex","Environmental information processing","Phosphate and amino acid transport system","Branched-chain amino acid transport system",NA,NA,NA,NA,NA,NA
"4905","K14859","SSF1_2; ribosome biogenesis protein SSF1/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4906","K13305","NEDD4L; E3 ubiquitin-protein ligase NEDD4-like [EC:2.3.2.26]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4907","K04344","CACNA1A; voltage-dependent calcium channel P/Q type alpha-1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4908","K04483","radA; DNA repair protein RadA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4909","K19573","ATAT1, MEC17; alpha-tubulin N-acetyltransferase 1 [EC:2.3.1.108]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4910","K14686","SLC31A1, CTR1; solute carrier family 31 (copper transporter), member 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4911","K17353","TSPAN18; tetraspanin-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4912","K17292","TBCA; tubulin-specific chaperone A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4913","K09864","AQP1; aquaporin-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4914","K10997","TOF1, SWI1; replication fork protection complex subunit Tof1/Swi1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4915","K10728","TOPBP1; topoisomerase (DNA) II binding protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4916","K05303","K05303; O-methyltransferase [EC:2.1.1.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4917","K14512","MPK6; mitogen-activated protein kinase 6 [EC:2.7.11.24]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4918","K04630","GNAI; guanine nucleotide-binding protein G(i) subunit alpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4919","K02969","RP-S20e, RPS20; small subunit ribosomal protein S20e","Structural complex","Genetic information processing","Ribosome","Ribosome, eukaryotes",NA,NA,NA,NA,NA,NA
"4920","K05681","ABCG2, CD338; ATP-binding cassette, subfamily G (WHITE), member 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4921","K11586","CBX3, HP1G; chromobox protein 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4922","K07561","DPH1, dph2; 2-(3-amino-3-carboxypropyl)histidine synthase [EC:2.5.1.108]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4923","K11341","YEATS4, GAS41, YAF9; YEATS domain-containing protein 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4924","K15166","MED23; mediator of RNA polymerase II transcription subunit 23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4925","K17551","PPP1R9; neurabin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4926","K10088","OS9; protein OS-9","Structural complex","Genetic information processing","Protein processing","HRD1/SEL1 ERAD complex",NA,NA,NA,NA,NA,NA
"4927","K01345","CELA3; pancreatic endopeptidase E [EC:3.4.21.70]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4928","K00108","betA, CHDH; choline dehydrogenase [EC:1.1.99.1]","Pathway module","Nucleotide and amino acid metabolism","Serine and threonine metabolism","Betaine biosynthesis, choline => betaine",NA,NA,NA,NA,NA,NA
"4929","K11267","PDS5; sister chromatid cohesion protein PDS5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4930","K18400","KANSL1; KAT8 regulatory NSL complex subunit 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4931","K04809","CHRNA7; nicotinic acetylcholine receptor alpha-7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4932","K08816","VRK; vaccinia related kinase [EC:2.7.11.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4933","K03118","tatC; sec-independent protein translocase protein TatC","Structural complex","Environmental information processing","Bacterial secretion system","Twin-arginine translocation (Tat) system",NA,NA,NA,NA,NA,NA
"4934","K12796","ERBB2IP, ERBIN; erbb2-interacting protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4935","K15074","BACURD; BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4936","K00266","gltD; glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4937","K08892","FRK, PTK5; fyn-related kinase [EC:2.7.10.2]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4938","K09237","TTK; tramtrack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4939","K17903","RCAN2, ZAKI4; calcipressin-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4940","K08511","ATVAMP72; vesicle-associated membrane protein 72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4941","K00613","GATM; glycine amidinotransferase [EC:2.1.4.1]","Pathway module","Nucleotide and amino acid metabolism","Other amino acid metabolism","Creatine pathway",NA,NA,NA,NA,NA,NA
"4942","K08561","NR6A1, GCNF; germ cell nuclear factor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4943","K02157","AXIN1; axin 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4944","K15294","CPLX1_2; complexin-1/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4945","K18450","ATCAY; caytaxin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4946","K06177","rluA; tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4947","K08472","MLO; mlo protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4948","K03567","gcvR; glycine cleavage system transcriptional repressor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4949","K19932","NCS1; neuronal calcium sensor 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
